2026-02-19 21:34:07 [log WARNING] Unauthorized: /admin/api/user/profile
2026-02-19 23:35:38 [log WARNING] Not Found: /chat/api/profile
2026-02-19 23:35:45 [log WARNING] Not Found: /chat/api/profile
2026-02-19 23:36:07 [log WARNING] Not Found: /chat/api/profile
2026-02-19 23:46:14 [log WARNING] Not Found: /chat/api/profile
2026-02-19 23:46:51 [log WARNING] Not Found: /chat/api/profile
2026-02-19 23:51:58 [log WARNING] Not Found: /chat/api/profile
2026-02-19 23:52:10 [log WARNING] Not Found: /chat/api/profile
2026-02-19 23:56:11 [log WARNING] Not Found: /chat/api/profile
2026-02-19 23:56:22 [log WARNING] Not Found: /chat/api/profile
2026-02-19 23:56:30 [log WARNING] Not Found: /chat/api/profile
2026-02-19 23:59:17 [log WARNING] Not Found: /chat/api/profile
2026-02-19 23:59:25 [log WARNING] Not Found: /chat/api/profile
2026-02-19 23:59:57 [log WARNING] Not Found: /chat/api/profile
